filename,sku_original,page,row,col,status
J930.png,J930,17,1,3,saved
U60.png,U60,17,2,1,saved
A-609.png,A-609,17,2,2,saved
J940.png,J940,17,2,3,saved
A-388.png,A-388,17,3,1,saved
J-60_G款.png,J-60 G款,17,3,2,saved
J-60_U款.png,J-60 U款,17,3,3,duplicate_of_page_3
A-607_P款.png,A-607 P款,18,1,1,saved
A-607_Q款.png,A-607 Q款,18,1,2,duplicate_of_page_3
J-60_P款.png,J-60 P款,18,1,3,saved
J-60_Y款.png,J-60 Y款,18,2,1,saved
K98.png,K98,18,2,2,saved
A-686.png,A-686,18,2,3,saved
RS13.png,RS13,18,3,1,saved
RS15.png,RS15,18,3,2,saved
A-505.png,A-505,18,3,3,saved
G9S.png,G9S,19,1,1,saved
A-607_F9款.png,A-607 F9款,19,1,2,saved
A-607_A款.png,A-607 A款,19,1,3,saved
A-607_Q款_马卡龙.png,A-607 Q款 马卡龙,19,2,1,saved
A-607_W款.png,A-607 W款,19,2,2,duplicate_of_page_3
A-607_Y款.png,A-607 Y款,19,2,3,duplicate_of_page_3
A-286.png,A-286,19,3,1,saved
A-W3.png,A-W3,19,3,2,saved
J-60(AIR31).png,J-60(AIR31),19,3,3,saved
J-60(AIR_39款).png,J-60(AIR 39款）,20,1,1,saved
J-60_A款.png,J-60 A款,20,1,2,saved
J-60_D款.png,J-60 D款,20,1,3,saved
J-60_L款.png,J-60 L款,20,2,1,saved
J-60_R款.png,J-60 R款,20,2,2,saved
J-70_PRO_B款.png,J-70 PRO B款,20,2,3,duplicate_of_page_3
J-80_PRO.png,J-80 PRO,20,3,1,saved
J-85_PRO.png,J-85 PRO,20,3,2,saved
J-88_PRO.png,J-88 PRO,20,3,3,saved
